sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_average	fraction_average	Ribosomes	CHX	strain
IP_OE3_+CHX	17	8178	0.0207884247773213	9269	0.0267548391938622	8723.5	0.0237716319855918	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	18	5565	0.0141461951437752	7031	0.0202948834148285	6298	0.0172205392793018	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	19	4552	0.0115711554886729	5568	0.0160719543242448	5060	0.0138215549064588	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	20	4074	0.0103560824826128	5260	0.015182916620964	4667	0.0127694995517884	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	21	4605	0.0117058811567088	5019	0.0144872734830073	4812	0.013096577319858	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	22	4334	0.0110170008541099	5300	0.0152983760629485	4817	0.0131576884585292	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	23	3632	0.00923252125106764	4746	0.0136992627914629	4189	0.0114658920212653	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	24	3874	0.00984768373530728	4315	0.0124551873040798	4094.5	0.0111514355196935	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	25	4783	0.0121583560418107	4796	0.0138435870939436	4789.5	0.0130009715678771	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	26	5747	0.0146088380038232	5707	0.0164731758851409	5727	0.0155410069444821	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	27	9744	0.0247691869687233	7882	0.0227512830430491	8813	0.0237602350058862	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	28	40258	0.102335583845121	21076	0.0608355799816419	30667	0.0815855819133817	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	29	69867	0.177601476389962	47648	0.137535287291957	58757.5	0.157568381840959	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	30	46712	0.118741611420669	48131	0.13892946005392	47421.5	0.128835535737295	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	31	16782	0.0426597388864034	25755	0.0743414482077808	21268.5	0.0585005935470921	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	32	7979	0.0202825680237524	13905	0.0401365885198677	10942	0.03020957827181	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	33	5714	0.0145249522105178	7477	0.0215822561929558	6595.5	0.0180536042017368	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	34	5765	0.0146545938910807	5484	0.0158294894960773	5624.5	0.015242041693579	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	35	5542	0.014087729287835	4527	0.0130671223465977	5034.5	0.0135774258172164	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	36	7137	0.0181422092975963	5366	0.0154888841422229	6251.5	0.0168155467199096	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	37	13361	0.033963578313743	7746	0.0223587209403017	10553.5	0.0281611496270224	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	38	16578	0.0421411721641518	11617	0.0335323084383533	14097.5	0.0378367403012526	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	39	21354	0.0542817342498068	13007	0.0375445240473153	17180.5	0.045913129148561	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	40	18883	0.0480004677268475	13588	0.0392215724421404	16235.5	0.043611020084494	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	41	9294	0.023625289787286	9472	0.0273407958619336	9383	0.0254830428246098	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	42	3691	0.00938249888152276	4432	0.0127929061718845	4061.5	0.0110877025267036	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	43	1655	0.0042069996339529	2175	0.00627810715790811	1915	0.0052425533959305	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	44	906	0.00230304632529385	986	0.00284607524491834	946	0.0025745607851061	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	45	861	0.00218865660715012	762	0.00219950236980505	811.5	0.00219407948847758	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	46	653	0.00165992190995241	797	0.0023005293815415	725	0.00198022564574696	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	47	907	0.00230558831903038	586	0.00169148082507317	746.5	0.00199853457205178	IP	+	FLAG-UPF1 UPF2/UPF3 EE
