Sample	bin	fraction_ave	size	strain	Ribosomes
Total_FLAG-Upf1_CHX-	47	0.0113214451186555	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	48	0.0101003520384358	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	50	0.0090964277105371	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	54	0.00929825883966215	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	55	0.010069995308992	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	60	0.0105772328737222	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	61	0.0100737335905817	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	63	0.0110610414044005	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	65	0.0136134504415703	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	66	0.00973100433833434	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	67	0.00965110520110341	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	72	0.00960972558592325	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	73	0.00895248293711461	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	76	0.0121096499367011	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	80	0.0124325786629288	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	85	0.0125818921157175	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	86	0.00971421207080812	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	88	0.00926224250198603	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	89	0.0107478728786119	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	92	0.0101780719101025	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	96	0.0101478579441606	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	97	0.00834249905883354	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	98	0.00784030085279693	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	1	0.00304427058689748	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	57	0.0123586300627962	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	79	0.0120467188204427	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	94	0.0122769139706181	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	18	0.00847795712083867	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	100	4.4826967903891e-05	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	22	0.00908267688140026	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	37	0.00980799521903202	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	61	0.0119847937950871	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	88	0.0117001675725912	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	85	0.0109993269236656	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	32	0.0108676485135172	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	35	0.00883742471035862	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	81	0.0130084640731201	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	5	0.00593162602690235	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	17	0.00934270020043106	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	23	0.0115383433178617	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	41	0.0123191612459695	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	44	0.0099480279364813	S	FLAG-UPF1	Total
