Sample	bin	fraction_ave	size	strain	Ribosomes
Total_Upf1-FLAG	83	0.0103629918879993	M	UPF1-FLAG	Total
Total_Upf1-FLAG	88	0.00807297690735902	M	UPF1-FLAG	Total
Total_Upf1-FLAG	94	0.00664843818168574	M	UPF1-FLAG	Total
Total_Upf1-FLAG	95	0.00734199420104807	M	UPF1-FLAG	Total
Total_Upf1-FLAG	15	0.0103785352089636	M	UPF1-FLAG	Total
Total_Upf1-FLAG	27	0.00868442489630203	M	UPF1-FLAG	Total
Total_Upf1-FLAG	28	0.0100318371467365	M	UPF1-FLAG	Total
Total_Upf1-FLAG	29	0.00902958284412476	M	UPF1-FLAG	Total
Total_Upf1-FLAG	31	0.00953999113344983	M	UPF1-FLAG	Total
Total_Upf1-FLAG	40	0.00918665687581933	M	UPF1-FLAG	Total
Total_Upf1-FLAG	46	0.013152337047217	M	UPF1-FLAG	Total
Total_Upf1-FLAG	51	0.0101379620588111	M	UPF1-FLAG	Total
Total_Upf1-FLAG	54	0.0113715620023895	M	UPF1-FLAG	Total
Total_Upf1-FLAG	55	0.0106579617265461	M	UPF1-FLAG	Total
Total_Upf1-FLAG	59	0.00973777939215923	M	UPF1-FLAG	Total
Total_Upf1-FLAG	78	0.0104850316936953	M	UPF1-FLAG	Total
Total_Upf1-FLAG	97	0.00732804257632846	M	UPF1-FLAG	Total
Total_Upf1-FLAG	3	0.0097801104255773	M	UPF1-FLAG	Total
Total_Upf1-FLAG	5	0.00680839550961194	M	UPF1-FLAG	Total
Total_Upf1-FLAG	9	0.0114433445361172	M	UPF1-FLAG	Total
Total_Upf1-FLAG	33	0.0119802462097712	M	UPF1-FLAG	Total
Total_Upf1-FLAG	47	0.0103457932960942	M	UPF1-FLAG	Total
Total_Upf1-FLAG	61	0.0105727938856601	M	UPF1-FLAG	Total
Total_Upf1-FLAG	16	0.0110288852191705	M	UPF1-FLAG	Total
Total_Upf1-FLAG	43	0.0107460369436574	M	UPF1-FLAG	Total
Total_Upf1-FLAG	52	0.0131663416063844	M	UPF1-FLAG	Total
Total_Upf1-FLAG	76	0.00919114417217387	M	UPF1-FLAG	Total
Total_Upf1-FLAG	10	0.0102564301402531	M	UPF1-FLAG	Total
Total_Upf1-FLAG	60	0.0165940417141891	M	UPF1-FLAG	Total
Total_Upf1-FLAG	62	0.0084858484964061	M	UPF1-FLAG	Total
Total_DE572AA-FLAG	1	0.00784669999815383	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	14	0.0114691806816164	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	37	0.0077698857255558	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	48	0.00933362411572033	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	49	0.00861756161201445	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	65	0.00850779141982785	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	98	0.0070187937935467	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	84	0.00975999313059997	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	85	0.0127841246769915	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	86	0.00891216535852024	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	89	0.00847724749700576	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	36	0.00907543630405742	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	57	0.0112658208087946	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	90	0.00725680787206007	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	4	0.00827227179708002	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	13	0.0107436548835029	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	26	0.00842424826218597	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	0	0.0117577290010326	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	2	0.0109445536852199	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	7	0.0105999469120768	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	8	0.00965447379942976	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	11	0.0122225106571306	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	18	0.0100139737478942	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	19	0.00997705979525058	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	21	0.0116640163962624	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	22	0.0141538390870123	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	29	0.00912150522086324	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	30	0.0102272973424475	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	31	0.00975664457075136	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	34	0.00929523093818465	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	35	0.00946122994021686	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	38	0.00920802795869189	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	39	0.0123414766713876	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	40	0.00930484283167484	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	41	0.0126642724700462	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	43	0.0107148262187181	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	46	0.0128564154484719	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	47	0.0105369720259373	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	50	0.00913505838831587	M	DE572AA-FLAG	Total
