sample	psite_region	Frame	Freq	fraction_overall	Freq_region_sum	fraction_by_region	strain
IP_Upf1-FLAG_2	3utr	2	1977	0.000500945893282561	7479	0.264340152426795	UPF1-FLAG
IP_Upf1-FLAG_2	5utr	2	3535	0.000895722677164317	7656	0.461729362591432	UPF1-FLAG
IP_Upf1-FLAG_2	cds	2	246604	0.062486222087533	3931399	0.0627267799579743	UPF1-FLAG
IP_Upf1-FLAG_3	3utr	0	2789	0.00112259692209604	5646	0.493978037548707	UPF1-FLAG
IP_Upf1-FLAG_3	5utr	0	984	0.000396068616472751	4954	0.198627371820751	UPF1-FLAG
IP_Upf1-FLAG_3	cds	0	1880812	0.75704329947698	2473818	0.760287135108565	UPF1-FLAG
IP_Upf1-FLAG_3	3utr	1	1607	0.000646831571820845	5646	0.284626284094934	UPF1-FLAG
IP_Upf1-FLAG_3	5utr	1	1612	0.000648844115603735	4954	0.325393621316108	UPF1-FLAG
IP_Upf1-FLAG_3	cds	1	466292	0.187686613122268	2473818	0.18849082673018	UPF1-FLAG
IP_Upf1-FLAG_3	3utr	2	1250	0.000503135945722499	5646	0.221395678356358	UPF1-FLAG
IP_Upf1-FLAG_3	5utr	2	2358	0.000949115648010922	4954	0.475979006863141	UPF1-FLAG
IP_Upf1-FLAG_3	cds	2	126714	0.0510034945810246	2473818	0.0512220381612552	UPF1-FLAG
IP_DE572AA-FLAG_1	3utr	0	9717	0.00338535923584321	26006	0.373644543566869	DE572AA-FLAG
IP_DE572AA-FLAG_1	5utr	0	3151	0.00109779427314418	12352	0.255100388601036	DE572AA-FLAG
IP_DE572AA-FLAG_1	cds	0	2215906	0.772011715844436	2831943	0.782468432450794	DE572AA-FLAG
IP_DE572AA-FLAG_1	3utr	1	8235	0.00286903708008324	26006	0.31665769437822	DE572AA-FLAG
IP_DE572AA-FLAG_1	5utr	1	4031	0.00140438232784645	12352	0.326343911917098	DE572AA-FLAG
IP_DE572AA-FLAG_1	cds	1	497912	0.173470308514682	2831943	0.17581992292924	DE572AA-FLAG
