CHX	sample	psite_region	Frame	Freq	fraction_overall	Freq_region_sum	fraction_by_region	strain
+CHX	IP_OE3_2	cds	0	167997	0.573754367270827	290833	0.577640776665647	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	3utr	1	575	0.00196377769353456	1237	0.464834276475344	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	5utr	1	240	0.000819663732953556	733	0.327421555252387	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	cds	1	88349	0.301735296427974	290833	0.303779144732544	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	3utr	2	343	0.00117143608501279	1237	0.277283751010509	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	5utr	2	310	0.00105873232173168	733	0.422919508867667	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	cds	2	34487	0.117782263159872	290833	0.118580078601809	FLAG-UPF1 UPF2/3 EE
+CHX	Total_WT_1	3utr	0	543	0.00101024383528002	1597	0.340012523481528	WT + EV
+CHX	Total_WT_1	5utr	0	450	0.000837218648022117	2542	0.177025963808025	WT + EV
+CHX	Total_WT_1	cds	0	304928	0.567314239786863	533355	0.571716774006056	WT + EV
+CHX	Total_WT_1	3utr	1	647	0.00120373436726736	1597	0.405134627426425	WT + EV
+CHX	Total_WT_1	5utr	1	778	0.00144745801813602	2542	0.306058221872541	WT + EV
+CHX	Total_WT_1	cds	1	129014	0.240028725902057	533355	0.241891423160934	WT + EV
+CHX	Total_WT_1	3utr	2	407	0.000757217754988893	1597	0.254852849092048	WT + EV
+CHX	Total_WT_1	5utr	2	1314	0.00244467845222458	2542	0.516915814319434	WT + EV
+CHX	Total_WT_1	cds	2	99413	0.184956483235162	533355	0.18639180283301	WT + EV
+CHX	Total_WT_2	3utr	0	2565	0.00121580806443356	6542	0.392081932130847	WT + EV
+CHX	Total_WT_2	5utr	0	2362	0.00111958621761874	13871	0.1702833249225	WT + EV
+CHX	Total_WT_2	cds	0	1396601	0.66198782011539	2089295	0.668455627376699	WT + EV
+CHX	Total_WT_2	3utr	1	2221	0.0010527523240183	6542	0.339498624273922	WT + EV
+CHX	Total_WT_2	5utr	1	4249	0.00201402279367571	13871	0.306322543435946	WT + EV
+CHX	Total_WT_2	cds	1	457570	0.216887834714567	2089295	0.219006889883908	WT + EV
+CHX	Total_WT_2	3utr	2	1756	0.000832342674910462	6542	0.268419443595231	WT + EV
+CHX	Total_WT_2	5utr	2	7260	0.00344123452155464	13871	0.523394131641554	WT + EV
+CHX	Total_WT_2	cds	2	235124	0.111448598573831	2089295	0.112537482739393	WT + EV
