CHX	size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo
-CHX	S	IP_FLAG-Upf1	43	Distance from start (nt)	17	3.09654480244955e-05	8	4.45843898904896e-05	25	3.43201992218924e-05	12.5	3.77749189574925e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	44	Distance from start (nt)	17	3.09654480244955e-05	2	1.11460974726224e-05	19	2.60833514086383e-05	9.5	2.10557727485589e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	45	Distance from start (nt)	81	0.000147541252352008	25	0.00013932621840778	106	0.000145517644700824	53	0.000143433735379894	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	46	Distance from start (nt)	22	4.00729327375824e-05	9	5.01574386268008e-05	31	4.25570470351466e-05	15.5	4.51151856821916e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	47	Distance from start (nt)	30	5.46449082785215e-05	16	8.91687797809792e-05	46	6.31491665682821e-05	23	7.19068440297503e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	48	Distance from start (nt)	96	0.000174863706491269	45	0.000250787193134004	141	0.000193565923611473	70.5	0.000212825449812636	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	49	Distance from start (nt)	28	5.10019143932867e-05	1	5.5730487363112e-06	29	3.98114310973952e-05	14.5	2.82874815647989e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	50	Distance from start (nt)	27	4.91804174506693e-05	16	8.91687797809792e-05	43	5.9030742661655e-05	21.5	6.91745986158242e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	51	Distance from start (nt)	148	0.000269581547507373	91	0.000507147435004319	239	0.000328101104561292	119.5	0.000388364491255846	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	52	Distance from start (nt)	22	4.00729327375824e-05	25	0.00013932621840778	47	6.45219745371578e-05	23.5	8.96995755726812e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	53	Distance from start (nt)	27	4.91804174506693e-05	7	3.90113411541784e-05	34	4.66754709417737e-05	17	4.40958793024239e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	54	Distance from start (nt)	130	0.00023679460254026	42	0.00023406804692507	172	0.00023612297064662	86	0.000235431324732665	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	55	Distance from start (nt)	64	0.000116575804327512	10	5.5730487363112e-05	74	0.000101587789696802	37	8.61531458453122e-05	FLAG-UPF1	IP
