,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YDL036C_mRNA,52,68,49,17,25,27,6,13,13,48,53,56,8,0,14,14,0,0,0,1,1,0,5,0,0,0,13,3,7,4,3,0,0,0
YLR142W_mRNA,42,43,34,19,51,37,2,11,1,49,54,48,16,0,6,8,2,7,0,5.01,5.02,0,0,3,3,0,13,13,13,0,0,0,0,0
YHR037W_mRNA,437,461,418,182,236,227,23,95,67,238,368,369,19,6,35,37,2,38,0,23,26,3,24,25,36,11,32,19,29,10,13,1,2,0
YKL015W_mRNA,127,93,120,70,61,83,2,24,11,82,122,129,0,0,7,8,1,0,0,3,3,0,10,0,0,0,17,2,2,0,1,0,1,0
YOR348C_mRNA,124,110,54,55,100,93,6,8,26,44,45,50,4,3,12.49,13.14,1,25,0,5,5,0,46,7,15,8,36,12,16,4,29,0,1,0
YLR196W_mRNA,580,750,621,295,356,286,56,158,124,493,631,543,34,5,55,69,14,27,0,27,28,1,17,11,12,1,118,60,75,15,42,0,34,1
YCR057C_mRNA,477,497,375,161,248,202,32,103,76,321,435,401,27,4,86,104,18,66,6,35,40,5,40,24,24,0,109,70,102,32,26,0,29,0
PWR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPL147W_mRNA,27,12,15,4,15,12,1,4,5,21,15,29,0,0,3,3,0,5,0,0,0,0,0,0,0,0,4,1,1,0,0,0,12,0
YKL188C_mRNA,6,6,4,0,2,2,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YKR090W_mRNA,102,105,80,41,48,35,5,30,15,49,75,72,2,4,5.01,5,0,11,0,6,6,0,9,0,0,0,30,15.89,18.97,3,2,0,1,0
YGR280C_mRNA,102,126,103,60,80,45,15,26,28,79,127,119,6,0,12,14,2,13,0,0,1,1,3,0,0,0,39,8.17,26.46,18,6,0,0,0
YGL062W_mRNA,462.51,522.01,429.28,234.45,306.15,246.67,19.77,89.09,59.07,300.54,419.08,446.78,25.37,2,69.45,95.75,24.55,61.8,4,74.36,79.86,5.86,48.96,13.37,14,1,94.34,93.06,114.09,21.05,52.85,0,30.38,1
YBR218C_mRNA,1478.49,1811.99,1338.72,601.55,907.85,861.33,79.23,313.91,292.93,1024.84,1495.92,1491.22,73.63,7,198.15,214.84,18.45,83.2,10,61.63,76.16,14.14,133.04,104.8,125.2,20,406.66,116.94,157.91,40.95,121.15,0,52.62,1
YOR347C_mRNA,112,69,57,42,53,43,1,7,2,49,74,87,6,0,13.9,18.87,5,4,1,16.01,21.02,5,4,0,5,5,25,4,9,5,4,0,0,1
YPR186C_mRNA,26,29,30,19,21,15,0,7,6,23,31,44,0,0,5,5,0,2,0,0,7,7,0,0,0,0,10,4,6,2,7,0,2,0
YHR001W-A_mRNA,208,138,139,70.67,117,80,5,42,35,74,131,113,15,4,14,12.59,0,14,0,16,0,0,0,0,9,9,20.36,35,47,12,30,0,20,0
YHR001W-A_pre-mRNA,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,10.41,9,0,0,0,18,2,0,0,0,0,20.64,0,0,0,0,0,0,0
YPR191W_mRNA,661,604,457,265,363,359,29,96,104,345,419,472,77,2,179.01,221.02,42,97,20,60,74,14,110,58,69,11,242,123,215,92,73,7,82,5
