,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YMR056C_mRNA,19,9,4,0,1,5,0,0,0,0,8,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,2,2,0,0,0,0
YBR085W_mRNA,26,30,15,7,4,13.24,4,4,4,16,28,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YJR155W_mRNA,3,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,3.44,5.26,0,4,0,1.45,0,0,0,3,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,0,2.98,0,2.5,3,0.05,0,2,0,3.98,0,1.34,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
YCR107W_mRNA,0,0,1.11,0,0,5.81,0,0,0,3.55,2,1.37,0,0,0,4.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,7.64,5.71,2.24,0,6.76,0,0,1,0,0,3,7.07,0,0,0,0,0,0,0,8.98,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,497,685,563,210,324,320,30,132,115,365,524,493,49,5,68.62,79.58,11,58,7,21.08,23.21,0,56,16,31,15,119,56.32,73.57,17,14,0,18,0
YHR047C_mRNA,1503,1511,1183,420,650,665.99,48.98,251,218,950,1315,1344,44,17,111.03,129,18,111,4,64,78,14,71,59,82,23,255,79.15,143.41,64,59,1,2,1
YBL074C_mRNA,73,79,76,22,69,50,0,9,6,75,107,88,0,0,8.32,8.03,0,4,0,0,0,0,9,0,0,0,1,3,3,0,0,0,0,0
YKL106W_mRNA,203,240,200,99,126,106,3,51,38,146,230,187,11,0,15,19,4,14,0,10,11,1,7,0,0,0,41,30,44,14,17,0,2,0
YLR027C_mRNA,1072,1248,886,632,678,576,76,251,194,752,1132,1006,125,6,251,279,28,204,8,51,62,11,183,32,88,56,368,145,199.99,55,102,9,46,0
YBR236C_mRNA,135,120,117,71,72,51,9,22,18,78,110,96,10,0,8,16,8,5,1,4,7,3,10,0,10,10,21,14.59,22.6,8,0,0,0,0
YKL112W_mRNA,158,145,152,68,95,76,8,30,21,77,98,110,17,13,13,15,2,18,0,10,17,7,6,6,16,10,32,11.05,26.16,15,24,0,17,0
YMR072W_mRNA,189,206,137,111,82,110,16,38,40,126,135,136,14,0,41,44,3,20,0,7,8,1,18,6,6,0,28,30,38,8,19,0,2,0
YJR108W_mRNA,3,4,2,4,4,5,0,0,0,7,7,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YCR088W_mRNA,412,361,256,185,214,198,24,68,76,227,278,263,58,0,91,111.99,21,78,11,41,42,1,37,15,15,0,161,70,97,27,32,0,36,1
YOR239W_pre-mRNA,292,263,208,102,161,132,14,70,48,161,221,211,17,4,48,54,6,45,3,18,19,1,21,30,35,5,87,32,44,12,19,0,36,1
YNR033W_mRNA,233,223,145,82,130,102,7,42,35,119,150,157,5,0,26,30,4,14,0,10,10,0,8,0,4,4,53,27,30.01,3,11,0,12,0
YMR289W_mRNA,71,66,37,20,24,39,0,12,8,28,53,53,0,2,18.87,18.25,0,0,6,3,3,0,12,1,1,0,16,3,3,0,0,0,9,0
YER045C_mRNA,11,12,10,10,18,5,0,2,3,10,20,18,2,0,4,4,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0
YGR037C_mRNA,516,623,509,278,386,296,64,184,189,437,590,521,65,6,70,100,30,82,11,24,24,0,95,26,40,14,246,66,117,51,60,1,72,17
YNR016C_mRNA,8415,9066,7772,3714,4900.01,4233,457,1902,1438,5610,7908,6935,286,39,707.99,849.97,142,451,40,278.19,337.33,59,436,236,384,148,1339,587.17,831.53,244,297,18,190,11
YLR131C_mRNA,117,146,105,80,58,74,5,28,16,85,116,102,18,0,10,12,2,4,7,0,0,0,1,0,0,0,43,8,13,5,2,0,0,0
YLR144C_mRNA,125,139,88,56,86,63,15,22,14,86,120,142,0,0,15,18,3,27,0,2,6,4,13,0,0,0,36,14,19,5,10,0,5,0
YJR083C_mRNA,39,31,26,15,11,14,5,3,7,18,27,19,2,0,5,5,0,8,5,0,0,0,0,1,1,0,10,0,4,4,0,0,0,0
YBL015W_mRNA,166,193,145,61,97,130,9,30,24,96,139,139,16.93,2,32.03,36.02,4,34,0,17,31,14,23,0,15,15,47,15,28.03,13,19,0,19,0
YDL203C_mRNA,44,65,61,14,35,15,3,8,10,34,68,58,8,4,18,24,6,2,1,8.04,8.08,0,0,0,0,0,17,5,12,7,25,0,0,0
YPL267W_mRNA,50,39,24,33,24,24,0,6,7,25,26,31,10,0,7.58,8.77,1,2,0,6,12,6,4,0,8,8,10,4,5,1,0,0,0,1
YLR304C_mRNA,3513,2816,2093.99,1652.91,2122,2156,139,508,408,2272,3519,3426,124,30,383,429.99,47,262,11,181.37,197.85,16,161,42,52,10,360,173,260,87,196,1,110,4
YJL200C_mRNA,610,612,468.01,284,361,352,36,142,123,421,669,641,31,8,51.66,60.67,9,29,8,42,47,5,31,19,62,43,115,60,90,30,14,0,14,0
YKL192C_mRNA,411,258,264,188,154,162,24,80,43,169,210,213,38,0,60,69,9,80,5,25,25,0,25,21,21,0,140,64,94,30,23,0,21,0
YAL054C_mRNA,10,9,3,3,1,5,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR153C_mRNA,3032,2776,2136,1178,1451,1457,95,476,458,1597,2386,2287,153,36,450.99,557.16,107,220,30,214,288,74,193,119.97,201.95,82,777,370,535,165,212,9,98,2
YFL039C_mRNA,23606.85,24378,23218,10731,12990,12975,1664,5693,4216,14759,22159,17837,844,89,1469.98,1694.95,225,1287,67,452,577,125,1079,384.99,642.97,258,4107,1333.67,2074.94,741,874,14,394,27
YFL039C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR448W_mRNA,79,85,72,32,46,44,3,15,14,56,48,55,2,0,3.07,3.08,0,13,0,9,9,0,12,0,9,9,30,5,9,4,14,0,0,0
YMR184W_mRNA,63,63,44,43,33,25,5,18,16,42,55,56,0,3,3,5,2,2,0,1,1,0,7,0,0,0,6,13,16,3,8,0,0,0
YKL206C_mRNA,222,247,183,91,137,111,6,49,21,146,180,162,4,1,11,22,11,25,2,1,10,9,20,1.94,13,11,57,23,25,2,12,0,0,0
YAR015W_mRNA,151,205,186,99,139,102,15,72,36,169,224,225,2,0,33,40,7,19,2,38,38,0,25,2.08,2.18,0,48,28,40,12,1,0,5,0
YNL220W_mRNA,226,225,180,124,144,161,20,49,62,198,273,214,5,0,18,20,2,6,0,23,22.99,0,16,13,13,0,17,34.01,43.02,9,7,0,13,0
YLR359W_mRNA,278,275,214,95,143,140,15,68,31,149,243,240,13,4,48.34,52.13,4,16,2,20,22,2,28,12,12,0,63,46.69,63.81,17,0,0,4,0
YLR028C_mRNA,472,451,311,203,196,205,30,111,66,234,332,297,34,6,49.95,61.96,12,41,3,20,22,2,41,22,26,4,131,41.69,57.78,16,54,0,45,0
YMR120C_mRNA,92,148,122,70,82,71,9,46,23,91,157,109,1,0,6,7,1,4,0,4,4,0,0,0,0,0,15,3.31,3.22,0,7,0,0,0
YOR128C_mRNA,30,30,18,25,38,26,1,1,3,33,66,62,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,2,4,2,14,0,0,0
YGR204W_mRNA,1228,1229,836,599,701,581,92,285,259,717,1053,870,99,28,291.94,344.94,53,258,9,81,97,16,177,93,107.01,14,479,172.97,256.97,84,104,12,100,13
YMR300C_mRNA,328,358,297,128,212,163,18,77,75,256,345,307,1,0,45,53,8,25,0,8,9,1,17,18,18,0,76,21,28,7,23,0,12,0
YGL234W_mRNA,978,1036,870,356,538,428,85,217,181,678,988,882,28,14,100.93,131.38,32,66,3,65,73,8,44,61,102.92,42,215,124,189,65,45,0,87,1
YGR061C_mRNA,1948,2177,1766,736,1029,998,128,529,499,1344,1962,1859,87,13,180.99,213.99,33,128,11,97,116.88,20,139,71,116,45,529,149,281,132,91,13.99,77,0
YDR408C_mRNA,155,200,159,78,90,71,10,37,30,140,167,155,13,1,25,35,10,5,0,23,26,3,26,31,32,1,51,26.16,31.25,5,19,0,2,0
YCL058W-A_mRNA,19,28,21,13,23,9,5,11,13,17,31,23,0,0,9,14,5,0,0,8,8,0,9,0,11,11,3,8,13,5,0,0,0,0
YOL086C_mRNA,29347.35,28891.38,21979.05,11551.47,14927.78,12783.93,2118,6821,5278,17939.67,27347.36,23252.99,1427.19,60,2899.62,3776.2,877.05,1987.56,44,1217.7,1546.79,328.81,2207.24,1412.59,2160.86,747.94,8081.59,2836.97,4093.34,1256.47,1994.94,73,1199,40
YMR303C_mRNA,4.63,3.6,7.9,7.53,7.21,0,0,0,0,1.33,7.64,4.01,3.8,0,9.21,13.52,3.95,2.43,0,4.5,5.61,1.19,3.76,2.45,3.53,1.06,11.41,5.87,7.3,1.53,19.06,0,0,0
YMR083W_mRNA,922,783,635,369,408,352,25,249,276,525,644,605,35,0,123.83,140.86,17,60,5,28.03,31.03,3,21,23.85,59.9,36,159,46.77,87.84,41,44,0,20,4
YGL256W_mRNA,43,23,20,12,13,11,2,2,2,15,37,23,0,0,0,2,2,0,0,0,0,0,0,0,9,9,7,2,2,0,0,0,0,0
YBR145W_mRNA,19,45,29.01,18,18.02,31.07,2,11,5,23,33,47,0,0,3.31,3.28,0,0,0,14.92,15.11,0,0,4.02,3.62,0,6,3,3,0,0,0,0,0
YMR318C_mRNA,777,1028,861,348,459.98,449,67,194,144,590,703,677,40,0,68,81.99,14,74,0,38,46,8,41,10,15,5,136,40,61,21,38,6,20,0
YCR105W_mRNA,2,1,4,1,6,0,0,1,0,3,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YMR009W_mRNA,145,174,115,82,96,84,7,27,20,120,138,131,9,5,9.01,10,1,23,6,8,8,0,11,12,12,0,63,11,25,14,8,0,12,0
YDR226W_mRNA,2017,2081,1779,893,879,888,166,518,364,1146,1558,1468,70,6,154.97,192.96,38,117,1,77.9,86.9,9,118,70.01,97.01,27,317,146,229,83,131,0,101,0
YER170W_mRNA,66,58,56,17,33,16,2,13,15,39,71,60,6,0,7,7,0,8,0,0,0,0,7,0,0,0,4,13.9,14.87,1,0,0,0,0
YJR105W_mRNA,1997,1939,1470,675,928,845,109,437,378,1115,1519,1467,85,2,178.15,220.12,43,167,6,89.86,100.97,11,184,101,162,61,554,177.1,328.05,151,103,0,129,17
YCR011C_mRNA,349,333,291,133,161,157,17,65,68,217,279,268,22,0,24.42,30.26,6,24.99,0,0.9,6.98,6,10,21,48,27,63,46.99,55.98,9,22,0,1,0
YDR216W_mRNA,90,52,55,79,90,86,0,5,12,46,58,78,1,0,4,4,0,2,0,3,3,0,0,0,0,0,6,0,0,0,2,0,0,1
YCR010C_mRNA,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL239C_mRNA,3,4,2,4,0,1,0,0,0,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR227C_mRNA,18,19,15,9,27,11,0,2,5,23,31,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0
YMR064W_mRNA,74,80,81,54.54,46,45,9,18,12,61.15,118,70,2,0,7,7,0,3,0,0,0,0,0,0,0,0,12,2,7,5,0,0,0,0
YMR282C_mRNA,54,46,42,26,32,28,7,12,8,46,49,47,4,0,9,12,3,2,0,1,1,0,0,14,14,0,14,0,0,0,11,0,0,0
YPL005W_mRNA,24,36,22,6,8,13,4,3,3,10,14,14,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,10,0,0,0,0,0
YLR040C_mRNA,35,22,31,8,8,20,0,1,3,253,420,417,0,9,1,1,0,2,5,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0
YEL052W_mRNA,109,119,68,55,74,70,6,24,19,66,75,80,0,0,8,10,2,17,0,26.86,28.98,2,9,0,21,21,19,18,22,4,0,0,1,0
YLR397C_mRNA,172,198,129,77,85,64,12,52,32,109,125,128,24,1,63.17,74.16,11,21,0,22,30,8,18,7,7,0,65,30,46,16,22,0,16,1
YER017C_mRNA,146,154,130,89,75,82,9,30,22,69,97,123,16,0,17,19,2,11,0,14,14,0,1,8,8,0,15,32,36,4,15,0,8,0
YOR129C_mRNA,42,41,17,11,21,20,1,4,5,25,23,30,5,0,3,3,0,5,0,0,0,0,0,0,0,0,5,1,2,1,1,0,0,0
YDR085C_mRNA,25,16,8,13,18,19,0,2,3,18,21,20,0,0,8,8,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0
YGL071W_mRNA,42,51,59,27,27,12,2,22,17,39,50,52,3,0,5,6,1,0,0,6,6,0,5,0,0,0,35,3,5,2,0,0,0,0
YPL202C_mRNA,85,64,79,53,44,42,2,23,9,67,88,68,1,0,14,14,0,14,1,4,4,0,10,0,0,0,24,3,3,0,0,0,7,0
YNR044W_mRNA,79,84,81,8,15,13,2,23,17,31,37,38,8,0,2,2,0,1,0,7,7,0,0,2,2,0,9,19,31,12,0,0,0,0
YGL032C_mRNA,47,46,33,16,25,34,0,17,1,1,4,0,1,0,10,13,3,3,4,1,1,0,5,11,11,0,17,7,17,10,4,0,0,0
YPR021C_mRNA,100,84,97,33,63,65,1,18,12,62,100,112,0,0,10,10,0,1,0,0,0,0,0,0,0,0,13,0,3,3,17,0,1,0
YDR524C_mRNA,70,46,44,27,22,31,4,11,12,40,34,55,0,0,7,7,0,0,0,10,10,0,0,0,0,0,8,2,8,6,0,0,1,0
YIL044C_mRNA,198,203,170,88,134,116,17,42,33,136,207,196,21,0,22,24,2,12,0,16,16,0,7,0,3,3,25,20.98,26.99,6,3,0,15,0
YCL025C_mRNA,404.71,455.45,394.19,150.95,215.43,234.53,31.56,150.07,91,265.5,392.89,340.04,15.12,6,91.2,112.03,20,51.29,8,34.49,50.65,14,28.53,7,16,9,81.85,40.37,44.99,5,22,0,17,0
YBR132C_mRNA,65,83,38,39,59,43,8,8,6,40,54,45,6,0,10,11,1,23,0,0,2,2,5,0,0,0,9,6,6,0,0,0,0,0
YFL055W_mRNA,10,7,10,2,6,7,0,4,0,3,5,7,6,0,4,4,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
YFL030W_mRNA,4,5,3,0,7,4,0,2,0,6,6,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0
YDR214W_mRNA,557,642,505,277,394,286,41,116,102,359,535,505,111,10,114,148,34,137,10,75,80,5,66,27,64.99,38,253,117,162,45,146,0,133,3
YOR023C_mRNA,108,102,108,51,79,60,7,33,18,63,101,90,1,2,20,24,4,4,0,2,7,5,15,0,8,8,26,6,24,18,14,0,0,0
YCR082W_mRNA,200,183,204,112,136,117,7,27,21,128,181,187,4,1,7,7,0,5,1,8,11,3,22,0,0,0,27,0,3.86,4,2,0,26,0
YLR109W_mRNA,2463,3347,3278,1707,2205,1790,146,656,404,2427.5,2941,3196,136,4,493,591,98,241,11,165.99,223.98,58,197,192,287,95,539,259.58,370.58,111,148,0,84,0
YHR093W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR074C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL046C_mRNA,35.81,36,45,21,20,19,5,6,12,28.51,52.05,44,19,0,4,4,0,2,0,0,0,0,18,0,0,0,18,5,6,1,0,0,3,0
YER087W_mRNA,152,141,103,40,80,91,7,32,36,95,120,107,12,0,0,0,0,4,0,13,13,0,17,0,0,0,21,3,5,2,2,0,1,0
YER093C-A_mRNA,18,16,5,8,8,14,7,9,6,4,14,8,0,0,3,3,0,10,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0
YER093C-A_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL160W_mRNA,190,133,116,62,76,74,5,28,15,84,119,105,0,0,30,30,0,16,3,2,2,0,0,0,0,0,21,6,10,4,5,0,7,0
YHL021C_mRNA,168,108,73,64,65,83,8,10,5,87,102,80,5,0,25,34,9,31,2,5,11,6,8,5,5,0,57,17,21,4,10,0,8,0
YHR198C_mRNA,82,105,73,37,47,38,7,22,17,64,101,75,4,0,10,10,0,0,0,1,1,0,11,0,0,0,14,6,10,4,1,0,13,0
YIL087C_mRNA,25,21,39,8,23,13,1,6,2,18,31,35,0,0,5,11,0,1,0,0,0,0,0,0,0,0,13,2,2,0,0,0,0,0
YAL049C_mRNA,230,313,259,119,135,118,13,61,31,155,232,195,2,0,16.99,25,8,5,0,8,18,10,6,0,0,0,36,8,18,10,12,0,7,0
YIL158W_mRNA,33,36,14,6,8,13,1,6,6,32,28,38,4,0,3.22,5.26,2,0,0,8,8,0,2,0,0,0,12,5,5,0,1,0,0,0
YIR003W_mRNA,116,124,120,60,77,64,9,19,15,76,97,90,7,5,11,15,4,26,0,7.18,13.9,6.73,3,0,0,0,46,14,26,12,19,0,0,0
YJL046W_mRNA,30,32,26,11,16,16,1,7,4,16,16,24,0,0,6,6,0,0,0,0,0,0,0,2,2,0,6.44,2,7,5,0,0,0,0
YJL131C_mRNA,19,10,8,6,7,16,0,3,4,10,18,15,0,0,1,2,1,1,0,4,5,1,0,0,0,0,3,1,6,5,4,0,3,0
YJR080C_mRNA,155,166,144,76,98,112,27,18,41,119,139,133,4,24,29,33,4,18,6,0,0,0,23,0,0,0,58,22,38,16,25,0,1,0
YJR100C_mRNA,31,45,28,25,24,19,0,15,5,29,40,32,0,0,2,5,3,4,0,0,0,0,18,0,0,0,21,4,6,2,7,0,20,5
YKL037W_mRNA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR074W_mRNA,86,69,76,50,63,39,3,23,14,57,95,97,18,0,20,23,3,4,1,7,7,0,29,0,0,0,28,26,30,4,7,0,2,0
YBR108W_mRNA,89,78,60,60,49,36,2,18,12,44,90,76,12,0,37,38,1,13,4,5,5,0,0,3,16,13,22,17,23,6,5,0,8,0
YML050W_mRNA,30,21,10,3,6,15,2,3,4,6,8,12,1,0,6,6,0,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
YML087C_mRNA,3,5,1,2,3,3,0,0,1,4,4,5,1,0,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
YMR003W_mRNA,14,15,10,11,8,10,1,4,3,6,11,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,2,4,2,0,0,0,0
YMR157C_mRNA,49,64,29,14,41,19,3,9,12,39,37,37,0,0,6.79,11.87,5,4,0,1,1,0,7,4,4,0,8,6,7,1,10,0,5,0
YOL053W_mRNA,66,42,33,13,36,34,1,9,8,38,36,40,0,0,7,7,0,2,0,4,4,0,0,0,0,0,3,6,8,2,0,0,12,0
YBR194W_mRNA,27,16,20,17,12,12,0,9,4,17,16,11,5,0,5,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
YOR215C_mRNA,86,44,39,28,28,18,5,16,10,26,57,41,0,2,18,18,0,3,4,3,4,1,13,1,1,0,15,5,11,6,6,0,1,0
YPL158C_mRNA,191,174,132,73,96,79,9,40,30,112,163,119,20,0,29,29,0,28,2,0,0,0,9,4,5,1,44,12,25.81,14,4,0,4,0
YPR004C_mRNA,261,305,225,127,136,127,18,55,46,165,205,227,24,0,52,60,8,12,8,23.38,23.32,0,23,9,9,0,68,23,39,16,16,0,5,0
YHR199C_mRNA,152,142,95,52,85,46,8,28,12,74,123,104,12,0,24,25,1,11,3,9,20,11,3,0,0,0,25,14,18,4,21,0,0,0
YDL237W_mRNA,197,253,171,83,111,119,15,67,41,180,228,203,13,0,36,42,6,21,0,10,10,0,27,14.01,21.01,7,46,28.01,38.01,10,6,0,0,0
YDR063W_mRNA,100,140,93,64,67,68,13,20,15,57,89,98,0,0,9,9,0,11,0,0,0,0,0,4,4,0,23,4,8,4,3,0,0,0
YER080W_mRNA,237,239,162,73,106,81,7,59,54,97,180,152,29,0,50,58,8,26,0,12,12,0,20,6,9,3,67,30,40,10,39,0,19,0
YMR092C_mRNA,352,330,263,154,180,177,12,63,49,189,254,252,18,7,60,80,20,56,9,29,31,2,92,3,41,38,125,31,60,29,23,0,18,0
YIL079C_mRNA,51,46,57,29,29,42,7,15,15,30,56,51,10,3,3,4,1,9,0,6,10,4,4,0,0,0,17,3,6,3,0,0,1,0
YDL175C_mRNA,73,107,88,50,49,53,8,21,12,58,79,79,7,0,7,8,1,9,0,0,0,0,0,0,0,0,8,19,23,4,1,0,0,0
YBR059C_mRNA,189,222,162,89,113,104,9,41,23,138,158,184,16,0,17,28.87,12,26,4,10,10,0,4,0,0,0,62,14,21,7,8,0,11,0
YDR264C_mRNA,340,414,357,137,235,189,24,90,65,279,360,352,22,3,36,42,6,29,8,34,50,16,46,1,7,6,80,30,54,24,25,0,16,1
YOR034C_mRNA,110,126,96,39,46,55,9,17,16,77,102,71,5,2,18.69,18.73,0,8,0,4,4,0,0,0,0,0,14,3,7,4,10,0,3,0
YOR335C_mRNA,2628,3180,2347,1060,1398,1416,172,717,519,1817,2412,2228,96,11,255.1,290.04,35,166,14,110.99,124.98,14,106,37,110.01,73,485,211,290,79,116,6,70,4
YJL122W_mRNA,83,55,58,17,26,20,5,17,7,25,52,46,6,0,34,37,3,10,3,4,7,3,19,12,16,4,37,23,44,21,17,0,6,0
YMR170C_mRNA,100.89,169.78,89.58,68.6,89.67,63.97,2,18,11.75,79.09,106.6,106.76,6,2,13.05,19.82,3,12,0,4,4,0,2,0,0,0,22,7,11,4,28,0,1,8
YMR169C_mRNA,25.11,9.22,17.42,5.4,64.33,60.03,0,0,2.25,10.91,49.4,23.24,0,0,10.95,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR374W_mRNA,275,264,212,135,174,195,6,36,28,197,195,177,27,2,46,55,9,52,3,26,38,12,21,0,0,0,55,17,39,22,29,0,8,0
YER073W_mRNA,183,212,167,137,169,129,9,28,20,150,191,230,36,4,56,62,6,45,5,27,29,2,36,8,31,23,115,50,75,25,17,0,1,0
YPL061W_mRNA,8142,8338,6208,2912,4334,3823,515,1767.99,1614,5339,7672,6926,456,33,822,985.98,164,782,51,343.56,422.39,79,515,181,373,192,1730,594.93,921.95,327,469,10,191,21
YOR175C_mRNA,322,324,251,133,168,153,19,77,69,213,303,271,19,4,17,24,7,27,0,18,17.99,0,34,3.99,13,9,72,28,38,10,31,0,14,0
YNL148C_mRNA,58,56,32,12.09,34,42,0,7,8,54,68,58.25,5,0,8,11,3,4,0,3,3,0,0,0,0,0,13,8,13,5,13,0,14,0
YBR110W_mRNA,168.88,150.38,115.02,60.46,71.33,67.92,5.66,28.27,19.79,69.85,134.04,118.19,2,0,5,6,1,20,0,0,1,1,14,0,0,0,24,6.1,11.09,5,18.36,0,8,0
YNL048W_mRNA,188,239,183,63,102,123,8,43,54,148,203,151,10,2,13,24,11,15,0,9,9,0,8,0,0,0,23,18,23,5,3,13,10,1
YNR030W_mRNA,355,389,317,175,210,208,19,76,51,252,374,377,14,9,43,48,5,19,0,9,9,0,36,14,14,0,63,15.99,26,10,13,0,4,0
YGL047W_mRNA,58,69,41,30,35,33,5,12,4,49,47,47,2,0,6,6,0,14,0,0,0,0,1,3,3,0,14,2,4,2,0,0,33,0
YBR070C_mRNA,41,36,34,8,36,24,1,11,5,38,46,41,1,0,2,2,0,0,0,4,4,0,14,1,1,0,17,4,10,6,0,0,6,0
YGL065C_mRNA,135,157,130,55,88,69,10,34,24,88,83,117,9,5,10.68,9.74,0,15,0,13,13,0,0,8.99,8.99,0,30,14,18,4,3,0,1,0
YBL082C_mRNA,161.57,290.82,170.08,103.76,118,103.76,9,51.03,39,156,181.98,191,8,0,21,25.58,1.7,0,0,17,17,0,13,0,0,0,44,6.84,8.54,1,0,0,16,0
YPL227C_mRNA,90,97,96,37,51,55,5,13,12,66,76,79,7,0,8,9,1,17,0,8.99,9,0,0,17,17,0,36,5,11,6,21,0,6,0
YOR002W_mRNA,228,201,148,76,118,69,8,23,40,141,171,183,6,0,42,47,5,41,1,17,21,4,0,14,14,0,33,19,25,6,16,0,0,0
YBR243C_mRNA,149,116,106,61,61,61,4,30,28,94,115,128,1,1,15,18,3,8,0,9.99,13,3,0,6,6,0,18,19,21,2,2,0,9,0
YOR067C_mRNA,258,208,133,102,104,109,16,53,56,152,201,197,0,0,19,30,11,23,0,8,9,1,17,16,17,1,53,22,33,11,6,0,4,0
YNL219C_mRNA,345,315,261,113,143,145,10,61,51,190,238,217,6,2,31,41,10,13,2,17,26,9,10,11,11,0,67,24,39,15,2,0,17,0
YGL021W_mRNA,258,304,227,90,203,155,20,47,28,221,285,244,47,14,34,40,6,24,3,25.89,25.96,0,25,0,5,5,80,19,22,3,22,4,0,1
YBL009W_mRNA,217,234,178,97,118,111,17,54,62,127,189,216,4,0,7.02,9.01,2,10,0,4,4,0,14,15,15,0,29,9,14,5,14,5,0,0
YML086C_mRNA,873,810,667,365,392,377,27,198,118,532,738,707,36,3,54,69,15,63,1,8,16,8,32,11,26,15,124,47,80,33,53,0,29,0
YNL270C_mRNA,1.06,2.09,1.06,1.16,3.13,2.15,0,0,0,0,3.26,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YOL130W_mRNA,167.95,146,116,95.02,106,111,2,30,17,138,186.91,166,6,3,22,31,9,18,4,12,13,1,16,0,6,6,28,6,13,7,31,0,1,0
YFL050C_mRNA,4.05,3,1,3.98,5,4,0,0,0,8,4.09,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR089C_mRNA,580,694,538,207,350,355,46,143,103,383,537,415,28,0,49.87,56.04,6,47,0,22.98,24,1,29,5,14,9,139,35,57,22,35,0,27,6
YDR111C_mRNA,108,86,52,25,42,38,1,15,16,46,65,87,3,0,7,8,1,8,3,1,1,0,16,0,0,0,9,2,4,2,5,0,6,0
YKR021W_mRNA,117,120,88,36,81,80,8,32,18,88,111,88,0,0,16,18,2,2,0,7,7,0,8,5,5,0,17,15,17,2,2,0,0,0
YJL084C_mRNA,134,114,100,44,70,55,10,15,21,64,99,71,17,0,14,14,0,20,0,6,6,0,1,0,0,0,37,6,11,5,0,0,11,0
