,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YOL056W_mRNA,2181,4162.99,4059,3380.02,5931.79,3336.79,2820,1465,5985.99,5560,3471,3740,2174,2552,2796,4208,5139,3784,4448,3239,3394,4297.92
YOR262W_mRNA,2792.82,6966,4277.93,6215,7211.93,6774.97,3116.96,2513.88,7502.83,7162,4521.78,5223,3292,4019,4034.58,4985.95,6080.92,4751,5658.2,4115,5143,5521
YLR243W_mRNA,2750,6952.66,5258,5683.87,8140,6354,4184.02,2484,8384,7428.99,8224,6997,4778,5347.75,5715,6647,10195.06,7996,8947,6006,6927,6263.99
YIL053W_mRNA,23784.98,84387.14,59300.07,66770.97,116164.98,111134.01,51855.23,38606.33,85491.72,95212.98,117000,108732.3,82141.57,74267.83,79504.1,91881.55,191081.71,149778.58,174372.63,88130.9,112776.08,111308.95
YER062C_mRNA,1645.93,5538.12,3770,4151.95,5614.92,5077.62,2255.01,1639,5140,5324,5575,4038.17,2958,3789,4653,5659,5085,4107,4493,3228,3451,4218
YDL035C_mRNA,5759.57,9969.87,10345.59,8306.08,19829.62,11321.58,8732.53,4096.67,19482.61,17821.08,18171.24,13568,10490.21,11558,12315.76,15281,24551.9,19180.55,22524.27,13578.74,14592.86,15554.03
YKR067W_mRNA,4032.87,9588.65,8189.15,8089.64,11016.29,6965.67,5226.98,2546.12,11291.31,10902.81,9936.64,10029.72,6616.99,7926.03,8119.99,11417,11813.94,9664.6,11204.97,8981,8738,11305.14
YKL026C_mRNA,535,1489,1084,1191,727,354,328,92,2100,1777,1041,979,589,1070,1266.86,1351,412,257,365,1454,1327,1593
YBR244W_mRNA,797,2171,1529,1698.8,2291,1450,1093.01,456,3219,2635,2368,2301,1711.78,2631,2549,3049.99,2844,2195.98,2386,2360,3137,3416
YLL035W_mRNA,3541,8776.12,5453.95,7158.96,10543.65,9107.76,4708.96,3695.95,9881.87,8938.57,10593,8455,6250.27,7812.27,8049.07,10566,14292.09,10992.79,13675,10025,9651,10829.15
YPL223C_mRNA,124,172,126,175,219,146,85,38,250,315,248,305,132,242,328,490,129,123,122,233,204,291
YOL151W_mRNA,2273.67,8822.52,5914.98,6391,7624.98,7521.73,3705.03,2656,8205.02,7662,17776.54,6656,4587.97,9757,10941.1,12571.95,11296.35,9664.01,11036.47,10115.96,10529.41,12346.95
