,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YGR075C_mRNA,28.97,14.49,22.47,14.44,26.26,10.35,25.38,8.7,32.5,26.33,18.13,17.54,11.66,26.66,17.36,20.39,15.94,15.98,15.01,16.72,21.29,19.67
YML046W_mRNA,40.88,29.77,37.41,30.06,41.85,31.66,46.19,33.81,48.46,41.29,31.81,27.4,26.22,42.08,28.23,42.39,39.13,37.48,37.44,32.91,32.81,33.9
YPR178W_mRNA,54.41,33.53,48.86,34.19,42.14,24.93,44.24,28.12,54.03,49.04,41.54,46.4,34.81,48.55,44.31,52.7,32.95,31.61,31.44,39.13,41.4,46.74
YKL012W_mRNA,41.91,27.19,36.86,28.07,37.9,27.29,43.7,33.34,44.51,39.55,35.12,36.81,29.85,40.06,35.91,39.18,37.96,35.7,36.26,30.78,33.16,36.21
YDR235W_mRNA,44.05,25.87,39.79,26.49,42.07,23.11,43.81,24.77,53.64,43.46,37.48,38.07,31.95,43.81,36.2,41.09,43.24,38.62,39.42,38.09,36.16,33.01
YGL120C_mRNA,101.17,95.97,100.17,94.3,101.76,93.24,109.08,102.49,103.29,98.01,120.97,108.96,110.6,115.68,108.86,111.79,135.37,134.47,134.66,108.18,104.8,108.98
YAL032C_mRNA,36.55,21.32,37.83,20.67,35.63,18.08,36.29,19.86,36.91,38.55,45.4,42.1,36.12,39.61,41.43,46.09,41.37,41.66,41.77,39.54,40.2,37.65
YPL151C_mRNA,48.91,31.88,48.46,30.9,43.8,25.51,47.63,29.2,60.01,52.5,44.56,35.14,37.53,59.94,58.31,58.63,34.58,33,31.76,55.63,49.62,55.25
YBR237W_mRNA,30.43,20.42,26.04,20.71,25.72,15.43,28.47,17.27,37.75,32.63,28.64,27.34,25.3,45.37,36.54,44.02,20.31,20.27,20.91,32.55,32.36,37.94
YBR055C_mRNA,41.34,28.7,38.5,28.14,38.71,25.44,43.06,29.66,49.77,41.85,48.82,48.99,41.51,73.04,56.45,72.74,40.7,36.71,37.95,58.56,56.82,61.28
YHR165C_mRNA,51.39,44.39,54.89,43.18,54.51,44.63,61.52,49.11,51.25,46.93,87.54,74.82,69.72,86.64,78.67,82.86,79.69,75.53,77.67,81.44,74.43,74.19
YDL030W_mRNA,37.66,24.8,33.68,23.78,34.34,23.08,40.77,26.97,40.73,34.19,24.57,21.48,20.34,20.12,21.78,27.02,27.24,26.01,25.18,19.73,23.13,28.3
YKL116C_mRNA,64.52,46.98,60.82,46.35,51.88,36.71,59.98,43.34,60.98,57.91,71.25,71.08,64.15,89.46,72.03,87.19,63.15,61.99,58.03,79.68,79.29,77.73
