,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YBL016W_mRNA,111.13,22.16,116.88,60.11,154,55.16,96.39,106.04,115.78,142.74,66.08,181.85,55.99,146.44,20.72,132.63,54.16,128.07,172.59,332.81,128.44,22.66,118.26,93.56,0,523.8,0,542.26,0
YDR024W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL097W_mRNA,0,17.27,9.64,20.82,11.34,15.63,3.24,10.28,24.96,11.68,22.53,9.36,6.71,5.65,20.18,24.52,14.07,10.73,8.24,0,0,26.49,0,0,0,0,0,0,0
YOR183W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR059W_mRNA,9.95,77.69,4.93,316,0,435,29.6,32.28,37.22,5.98,130.28,31.13,33.97,4.69,108.92,9.06,83.05,47.05,54.25,78.56,11.91,44.67,0,0,0,0,0,0,0
YCL058C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL133C_mRNA,0,88.82,3.25,22.94,2.48,60.28,7.08,8.74,5.65,1.97,14.19,0,36.98,9.26,8.89,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0
YLR068W_mRNA,25.7,133.4,4.25,143.2,0,135.81,2.32,4.9,2.46,5.15,65.25,13.4,77.77,8.08,23.38,0,122.25,0,0,0,0,115.05,0,0,0,0,0,0,711.94
YGR196C_mRNA,11.12,14.23,8.27,36.98,2.81,28.98,11.52,8.49,9.6,12.24,33.81,4.83,37.33,12.24,29.93,3.37,47.82,4.44,10.23,29.26,17.74,35.46,0,0,0,89.86,0,6.9,9.49
YGL254W_mRNA,0,76.02,13.02,53.45,24.89,63.06,26.04,25.05,25.19,15.77,103.88,31.95,108.34,18.58,23.69,15.94,46.44,10.44,8.02,0,0,25.9,84.34,66.72,0,0,0,0,0
