,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YNL319W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL320W_mRNA,15,5,60,8,39,5,32,65,32,54,3,39,1,27,4,6,16,16,17,1,3,12,11,11,0,16,0,12,8
YNL324W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL337W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL338W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL339W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL339W-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR001W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR003W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR005C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR014W_mRNA,0,3,3,1,1,1,4,10,3,2,2,0,0,2,1,2,6,5,5,0,2,0,0,0,0,0,0,0,11
YNR021W_mRNA,71,13,238,19,146,14,193,306,170,210,8,101,15,99,18,117,30,80,104.34,25,68,16,9,17,8,35,0,17,0
YNR025C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR029C_mRNA,9,8,57,28,43,8,54,61,45,49,11,24,11,27,13,9,19,5,6,1,14,15,0,0,0,0,0,6,0
YNR034W-A_mRNA,0,0,2,7,1,6,4,6,3,2,3,2,0,0,1,0,11,0,0,0,0,6,0,0,0,0,0,0,0
YNR040W_mRNA,14,2,34,8,21,5,49,43,37,32,7,8,13,11,1,15,8,3,5,2,9,2,0,0,0,39,0,0,0
YNR042W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR048W_mRNA,16,0,24,5,15,3,24,45,24,34,4,14,5,14,2,7,3,4,4,0,1,1,4,4,0,0,0,0,0
YNR061C_mRNA,12,4,111,9,78,6,88,130,78,90,3,62,7,41,6,15,11,30,32.95,3,17,5,3,3,0,0,0,0,0
YNR062C_mRNA,1,0,4,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
YNR063W_mRNA,3,0,13,8,15,1,22,34,17,25,3,5,6,9,5,4,5,0,0,0,0,1,0,0,0,0,0,0,0
YNR064C_mRNA,2,0,0,0,1,0,0,4,3,3,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
YNR065C_mRNA,17.57,1,82.91,5.37,36.47,3.77,97.18,91.97,98.99,63.49,7.52,47.27,6,56,5.56,35.02,2.31,16.99,24.33,6.37,10.26,0,6.63,6.65,0,0,0,12.53,0
YNR066C_mRNA,8,0,33.89,11.67,25.07,3,36.96,68.22,54.05,38.68,4,34.13,13.01,31.13,10.63,9.55,9,8,8,0,7.24,0,0,0,0,0,0,11.87,0
YNR068C_mRNA,0,1,2,0,0,0,7,9,1,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR071C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR073C_mRNA,0,0,0,1,0,0,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR075C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR077C_mRNA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL013W-A_mRNA,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,3,0,8.61,0,0,0,4.23,7.06,0,0,0,0,0
YOL013W-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL014W_mRNA,3,2,3,0,3,0,4,7,5,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YOL019W_mRNA,21,11,73,33,56,29,68,82,65,58,26,27,24,34,21,19,55,27.99,37,9,20,27,8,8,0,0,0,3,0
YOL019W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL024W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL029C_mRNA,0,0,0,0,0,1,12,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL035C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL036W_mRNA,23,41,39,90,16,79,33,98,50,36,72,15,64,13,71,8,62,6.02,12.07,6,2,31,0,0,0,0,6,0,5
YOL037C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL038C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL046C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL050C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL057W_mRNA,56,14,271,23,151,11,235,272,182,191,16,118,21,125,13,59,64,42,64,22,72,11,13,13,0,36,8,25,0
YOL075C_mRNA,11,3,58,7,42,6,51,56,49,30,4,39,3,35,2,11,12,10.99,11.99,1,6,1,1,1,0,0,2,0,0
YOL079W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL083C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL085C_mRNA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL085W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL097W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL098C_mRNA,79,21,331,72,204,42,249,363,261,266,58,165,43,151,48,83,82,94,123,29,72,36,41,44,3,3,11,12,16
YOL099C_mRNA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL103W-B_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL106W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL107W_mRNA,3,9,25,4,28,1,22.96,25,19,23,3,13,2,14,2,17,4,2,2,0,7,0,0,0,0,0,0,0,6
YOL114C_mRNA,0,0,1,1,1,1,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YOL118C_mRNA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL131W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YOL134C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL150C_mRNA,0,0,2,0,0,0,4,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL153C,0,0,1,0,0,5,3,10,4,4,2,3,2,0,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0
YOL155W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
