,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YLR023C_mRNA,5.82,22.4,14.62,22.6,15.21,23.13,16.44,22.2,19.59,17.4,13.75,23.3,24.67,15.56,32.67,10.49,20.69,2.29,1.77,0,6.67,10.22,22.31,65.45,238.32,0,248.27,41.07,96.85
YOL101C_mRNA,6.15,0,5.8,0,2.3,4.6,5.89,5.97,11.55,2.67,10.95,4.62,0,5.81,0,8.33,16.47,10.89,8.41,0,10.59,16.27,0,0,0,0,0,0,0
YGL018C_mRNA,5.27,61.48,7.45,25.85,9.85,23.8,12.98,18.41,12.17,7.63,37.74,7.92,54.16,9.96,48.9,0,49.67,18.57,19.11,21.2,6.04,28.04,100.36,80.32,0,151.74,0,0,33.22
YJL073W_mRNA,6.84,31.62,18.54,29.91,27.49,35.7,18.26,20.92,18.77,19.32,36.39,12,30.47,21.01,36.68,12.35,20.53,16.2,17.19,20.64,3.92,30.05,0,15.76,78.88,7.04,0,0,106.78
YKL217W_mRNA,0,0,0.43,0,0,0,1.49,0.7,0,0,0,0.91,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER051W_mRNA,2.11,0,8.95,8.21,10.25,6.3,6.93,4.92,4.88,6.72,17.48,2.11,13.44,7.98,9.71,1.9,14.09,9.98,7.71,0,7.26,0,8.09,6.48,0,0,252.45,0,0
YJR119C_mRNA,7.48,13.81,8.1,8.71,6.71,2.23,9.41,4.35,6.48,5.63,7.06,6.74,9.5,4.94,9.15,9.44,1.99,1.77,1.37,0,0,0,3.76,18.23,68.94,0,153.02,0,0
YPR061C_mRNA,6.33,0,1.49,12.35,2.37,4.74,1.73,6.14,7.31,2.75,15.02,3.17,0,7.48,19.47,2.86,4.24,0,0,0,7.26,16.75,0,0,0,0,0,0,0
YLR331C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR475C_mRNA,13.91,8.75,15.49,19.62,12.75,11.29,11.42,13.99,13.87,11.35,26.85,13.93,12.85,10.75,17.4,15.96,15.15,5.99,12.72,35.59,8.7,22.17,0,0,0,0,0,0,0
YPR169W_mRNA,33.78,92.76,42.77,92.35,51.27,78.74,49.1,59,56.07,49.5,139.84,39.12,67.2,36.89,74.42,38.08,90.15,59.9,65.51,84.9,41.16,74.22,0,0,0,0,0,0,79.13
YNL227C_mRNA,12.62,16.66,24.21,49.03,30.99,51.06,21.21,19.59,27.58,26.62,38.35,24.38,32.11,17.03,46.94,24.39,64.91,19.2,24.7,43.5,43.42,44.33,34.67,27.77,0,0,0,0,0
